committer	name	organisation	organisation_colour
Hadrien Gourlé	Hadrien Gourlé	SLU	 #17091a
Maxime Garcia	Maxime U. Garcia	SciLifeLab	 #483010
Maxime U Garcia	Maxime U. Garcia	SciLifeLab	 #483010
MaxUlysse	Maxime U. Garcia	SciLifeLab	 #483010
d4straub	Daniel Straub	QBiC	 #62311d
Daniel Straub	Daniel Straub	QBiC	 #62311d
Sabrina Krakau	Sabrina Krakau	QBiC	 #62311d
Antonia Schuster	Antonia Schuster	QBiC	 #62311d
AntoniaSchuster	Antonia Schuster	QBiC	 #62311d
maxibor	Maxime Borry	MPI-EVA	 #863636
Maxime Borry	Maxime Borry	MPI-EVA	 #863636
James A. Fellows Yates	James A. Fellows Yates	MPI-EVA	 #863636
James Fellows Yates	James A. Fellows Yates	MPI-EVA	 #863636
Alex Hübner	Alex Hübner	MPI-EVA	 #863636
Alex Huebner	Alex Hübner	MPI-EVA	 #863636
alexhbnr	Alex Hübner	MPI-EVA	 #863636
Jim Downie	Jim Downie	Sanger	 #8b686f
prototaxites	Jim Downie	Sanger	 #8b686f
PhilPalmer	Phil Palmer	University of Cambridge	 #b793a3
Daniel Lundin	Daniel Lundin	Linnaeus University	 #e5d3e2
Carson J Miller	Carson J. Miller	University of Washington	 #b2b36b
Carson J. Miller	Carson J. Miller	University of Washington	 #b2b36b
William Rosenbaum	William Rosenbaum	UMU	 #81933d
Williams UMU-MacBook	William Rosenbaum	UMU	 #81933d
willros	William Rosenbaum	UMU	 #81933d
G Fedewa	Greg Fedewa	Independent	 #637b54
Greg	Greg Fedewa	Independent	 #3c5e40
Gregory Sprenger	Gregory Sprenger	CDC	 #3c5e40
gregorysprenger	Gregory Sprenger	CDC	 #3c5e40
Diego Alvarez S.	Diego Alvarez Saravia	Universidad de Magallanes	 #417075
Adam Rosenbaum	Adam Rosenbaum	Region Västerbotten	 #30526c
adro	Adam Rosenbaum	Region Västerbotten	 #30526c
Pranjal-Bioinfo	Pranjal G.	CSIR-IGIB	 #273352
Jeferyd Yepes	Jeferyd Yepes García	University of Fribourg	 #17091a
Jeferyd Yepes G	Jeferyd Yepes García	University of Fribourg	 #2d200a
@alxndrdiaz	Alexander Ramos Díaz
Adam Talbot	Adam Talbot
Alem Gusinac	Alem Gusinac
alemg	Alem Gusinac
Alex Caswell	Alex Caswell
Alexander Peltzer	Alexander Peltzer
Alexander Ramos Díaz	Alexander Ramos Díaz
amizeranschi	Alexandru Mizeranschi
Danielle Callan	Danielle Callan
Gisela Gabernet	Gisela Gabernet
Harshil Patel	Harshil Patel
IceGreb	Nikolaos Vergoulidis
Johannes Alneberg	Johannes Alneberg
kevinmenden	Kevin Menden
Mark Lubberts	Mark Lubberts
Matthias Hörtenhuber	Matthias Hörtenhuber
Michael L Heuer	Michael L. Heuer
muniheart	Thad Edens
nf-core-bot	bot
Nikolaos Vergoulidis	Nikolaos Vergoulidis
Paul Cantalupo	Paul Cantalupo
Phil Ewels	Phil Ewels
Rike	Friederike Hanssen
runner	bot
Sateesh	Sateesh Peri
Sateesh_Peri	Sateesh Peri
Till E	Till Englert
Till Englert	Till Englert
Travis CI User	bot
Usman Rashid	Usman Rashid
Vini Salazar	Vini Salazar
